"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_regression_case","tests.pytest","2026-07-21","passed","2026-07-21","","test_markers","",""
"","0","test_logout","tests.pytest","2026-07-21","passed","2026-07-21","TestUserAuthentication","test_markers","",""
"","2797","Create course","LMS system","2026-07-21","passed","2026-07-21","Courses","Courses","",""
"","1","test_critical_login","tests.pytest","2026-07-21","passed","2026-07-21","","test_markers","",""
"","1824","Check displaying of empty courses list","LMS system","2026-07-21","passed","2026-07-21","Courses","Courses","",""
"","1654","Navigation from login page to registration page","LMS system","2026-07-21","passed","2026-07-21","Authorization","Authentication","",""
"","1895","User login with wrong email or password:   ","LMS system","2026-07-21","passed","2026-07-21","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-07-21","passed","2026-07-21","TestUserAuthentication","test_markers","",""
"","2417","Registration with correct email, username and password","LMS system","2026-07-21","passed","2026-07-21","Registration","Authentication","",""
"","3852","User login with correct email and password","LMS system","2026-07-21","passed","2026-07-21","Authorization","Authentication","",""
"","2012","Check displaying of dashboard page","LMS system","2026-07-21","passed","2026-07-21","Dashboard","Dashboard","",""
"","2147","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-21","passed","2026-07-21","Authorization","Authentication","",""
"","3043","Edit course","LMS system","2026-07-21","passed","2026-07-21","Courses","Courses","",""
"","1896","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-21","passed","2026-07-21","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-07-21","passed","2026-07-21","TestUserAuthentication","test_markers","",""
