"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2509","Create course","LMS system","2026-07-21","passed","2026-07-21","Courses","Courses","",""
"","1747","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-21","passed","2026-07-21","Authorization","Authentication","",""
"","3721","User login with correct email and password","LMS system","2026-07-21","passed","2026-07-21","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-07-21","passed","2026-07-21","TestUserAuthentication","test_markers","",""
"","1937","Registration with correct email, username and password","LMS system","2026-07-21","passed","2026-07-21","Registration","Authentication","",""
"","0","test_logout","tests.pytest","2026-07-21","passed","2026-07-21","TestUserAuthentication","test_markers","",""
"","3136","Edit course","LMS system","2026-07-21","passed","2026-07-21","Courses","Courses","",""
"","2004","Check displaying of dashboard page","LMS system","2026-07-21","passed","2026-07-21","Dashboard","Dashboard","",""
"","0","test_password_reset","tests.pytest","2026-07-21","passed","2026-07-21","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-07-21","passed","2026-07-21","","test_markers","",""
"","1959","User login with wrong email or password:   ","LMS system","2026-07-21","passed","2026-07-21","Authorization","Authentication","",""
"","1621","Navigation from login page to registration page","LMS system","2026-07-21","passed","2026-07-21","Authorization","Authentication","",""
"","2060","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-21","passed","2026-07-21","Authorization","Authentication","",""
"","1743","Check displaying of empty courses list","LMS system","2026-07-21","passed","2026-07-21","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","2026-07-21","passed","2026-07-21","","test_markers","",""
