"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3210","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-07-15","passed","2026-07-15","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-07-15","passed","2026-07-15","TestUserAuthentication","test_markers","",""
"","2551","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","1","test_login","tests.pytest","2026-07-15","passed","2026-07-15","TestUserAuthentication","test_markers","",""
"","3755","Edit course","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","2436","Create course","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","1839","Check displaying of empty courses list","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","2026-07-15","passed","2026-07-15","","test_markers","",""
"","1859","Navigation from login page to registration page","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1955","User login with wrong email or password:   ","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1688","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","4136","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","2143","Check displaying of dashboard page","LMS system","2026-07-15","passed","2026-07-15","Dashboard","Dashboard","",""
"","0","test_regression_case","tests.pytest","2026-07-15","passed","2026-07-15","","test_markers","",""
